
*****  DB2MOVE  *****

Action:  EXPORT

Start time:  Thu Aug 11 16:56:43 2011


Connecting to database BOFFICE ... successful!  Server : DB2 Common Server V9.7.2

EXPORT:    514 rows from table "SYSTOOLS"."ALTOBJ_INFO"
EXPORT:    236 rows from table "DB2INST1"."CNF_ASSET"
EXPORT:     54 rows from table "DB2INST1"."CNF_COUNT_UNIT"
EXPORT:      7 rows from table "DB2INST1"."CNF_DEPARTMENT"
EXPORT:     94 rows from table "DB2INST1"."CNF_DIVISION"
EXPORT:     77 rows from table "DB2INST1"."CNF_PROVINCE"
EXPORT:      4 rows from table "DB2INST1"."CNF_PROVINCE_AREA"
EXPORT:      2 rows from table "DB2INST1"."CNF_PROVINCE_DETAIL_ZONE"
EXPORT:      0 rows from table "DB2INST1"."CNF_PROVINCE_GROUP"
EXPORT:     10 rows from table "DB2INST1"."CNF_PROVINCE_ZONE"
EXPORT:      3 rows from table "DB2INST1"."CNF_PROVINCE_ZONE_TYPE"
EXPORT:      0 rows from table "DB2INST1"."CNF_SECTION"
EXPORT:      1 rows from table "DB2INST1"."CNF_SET_TIME"
EXPORT:      0 rows from table "DB2INST1"."CNF_STRATEGY_DETAIL"
EXPORT:      5 rows from table "DB2INST1"."CNF_TYPE_HUMAN"
EXPORT:    133 rows from table "DB2INST1"."CNF_WORKGROUP"
EXPORT:      0 rows from table "SYSTOOLS"."DB2LOOK_INFO"
EXPORT:      1 rows from table "DB2INST1"."DOCUMENTUPLOAD"
EXPORT:     89 rows from table "DB2INST1"."EXPLAIN_ARGUMENT"
EXPORT:      5 rows from table "DB2INST1"."EXPLAIN_DIAGNOSTIC"
EXPORT:     10 rows from table "DB2INST1"."EXPLAIN_DIAGNOSTIC_DATA"
EXPORT:      4 rows from table "DB2INST1"."EXPLAIN_INSTANCE"
EXPORT:      5 rows from table "DB2INST1"."EXPLAIN_OBJECT"
EXPORT:     10 rows from table "DB2INST1"."EXPLAIN_OPERATOR"
EXPORT:      6 rows from table "DB2INST1"."EXPLAIN_PREDICATE"
EXPORT:      8 rows from table "DB2INST1"."EXPLAIN_STATEMENT"
EXPORT:     11 rows from table "DB2INST1"."EXPLAIN_STREAM"
EXPORT:    341 rows from table "DB2INST1"."FN_BUDGET_AREA"
EXPORT:      3 rows from table "DB2INST1"."FN_BUDGET_CODE"
EXPORT:    145 rows from table "DB2INST1"."FN_BUDGET_CURRENT_TARGET"
EXPORT:    339 rows from table "DB2INST1"."FN_BUDGET_EXPENSE_TYPE"
EXPORT:    145 rows from table "DB2INST1"."FN_BUDGET_MASTER"
EXPORT:   1090 rows from table "DB2INST1"."FN_BUDGET_OPERATION_AREA"
EXPORT:    398 rows from table "DB2INST1"."FN_BUDGET_PROCESS"
EXPORT:      0 rows from table "DB2INST1"."FN_BUDGET_PRODUCTIVITY_KEY"
EXPORT:      4 rows from table "DB2INST1"."FN_BUDGET_RELATED"
EXPORT:     15 rows from table "DB2INST1"."FN_BUDGET_RELATED_DETAIL"
EXPORT:      0 rows from table "DB2INST1"."FN_BUDGET_RETURN"
EXPORT:      0 rows from table "DB2INST1"."FN_BUDGET_SOURCE"
EXPORT:    147 rows from table "DB2INST1"."FN_BUDGET_TYPE"
EXPORT:   5044 rows from table "DB2INST1"."FN_BUDGET_TYPE_DETAIL"
EXPORT:    147 rows from table "DB2INST1"."FN_CNF_BUDGET_TYPE"
EXPORT:      6 rows from table "DB2INST1"."FN_COST_RELATED"
EXPORT:     30 rows from table "DB2INST1"."FN_COST_RELATED_DETAIL"
EXPORT:      0 rows from table "DB2INST1"."FN_MONEY_DURING_YEAR"
EXPORT:      2 rows from table "DB2INST1"."FN_RECEIVE_FOR_WITHDRAW_REPLACE"
EXPORT:      2 rows from table "DB2INST1"."FN_RECEIVE_FOR_WITHDRAW_REPLACE_DETAIL"
EXPORT:     38 rows from table "DB2INST1"."FN_STRATEGY"
EXPORT:     38 rows from table "DB2INST1"."FN_STRATEGY2"
EXPORT:      2 rows from table "DB2INST1"."FN_TRANSFER_BUDGET"
EXPORT:      1 rows from table "DB2INST1"."FN_TRANSFER_BUDGET_CHANGE"
EXPORT:      3 rows from table "DB2INST1"."FN_TRANSFER_BUDGET_CHANGE_DETAIL"
EXPORT:     76 rows from table "DB2INST1"."FN_TRANSFER_BUDGET_PROVINCE"
EXPORT:      3 rows from table "DB2INST1"."FN_TRANSFER_BUDGET_TYPE"
EXPORT:      2 rows from table "DB2INST1"."FN_TRANSFER_WITHIN"
EXPORT:      5 rows from table "DB2INST1"."FN_TRANSFER_WITHIN_DETAIL"
EXPORT:      4 rows from table "DB2INST1"."FN_WITHDRAW_REPLACE"
EXPORT:     70 rows from table "DB2INST1"."FN_WITHDRAW_REPLACE_DETAIL"
EXPORT:    135 rows from table "SYSTOOLS"."HMON_ATM_INFO"
EXPORT:      0 rows from table "SYSTOOLS"."HMON_COLLECTION"
EXPORT:      5 rows from table "DB2INST1"."MT_PROJECT"
EXPORT:     25 rows from table "DB2INST1"."MT_PROJECT_DETAIL"
EXPORT:      8 rows from table "DB2INST1"."MT_STRATEGY"
EXPORT:      5 rows from table "SYSTOOLS"."POLICY"
EXPORT:      1 rows from table "SYSTOOLS"."STMG_DBSIZE_INFO"
EXPORT:      0 rows from table "DB2INST1"."T20110810_143158"
EXPORT:      0 rows from table "DB2INST1"."T20110810_143158_EXCEPTION"
EXPORT:      1 rows from table "DB2INST1"."T20110811_160759"
EXPORT:      0 rows from table "DB2INST1"."T20110811_160759_EXCEPTION"
EXPORT:      0 rows from table "DB2INST1"."T20110811_160855"
EXPORT:      0 rows from table "DB2INST1"."T20110811_160855_EXCEPTION"
EXPORT:      0 rows from table "DB2INST1"."T20110811_162557"
EXPORT:      0 rows from table "DB2INST1"."T20110811_162557_EXCEPTION"
EXPORT:    153 rows from table "DB2INST1"."USER"
EXPORT:    123 rows from table "DB2INST1"."USER_LOGFILE"
EXPORT:      4 rows from table "DB2INST1"."USER_TYPE_TITLE"
EXPORT:    144 rows from table "DB2INST1"."USERTYPE"

Disconnecting from database ... successful!

End time:  Thu Aug 11 16:56:49 2011
